Metric,Value
Total Hours of Prayer,387.50
Total Individual Users,87
Top 1 Timeslot,Monday at 06:00 with 16 bookings
Top 2 Timeslot,Tuesday at 19:00 with 14 bookings
Top 3 Timeslot,Tuesday at 17:00 with 10 bookings
Avg Hours per Day,1.50
Avg Hours per Week,10.47
Avg Hours per Year,546.46
Total Hours Last 7 Days,9.00
Total Hours Previous 7 Days,11.00
Last 7 Days Hours Filled (%),5.36%
Previous 7 Days Hours Filled (%),6.55%
Total Hours Last Month,190.00
Total Hours Previous Month,16.00
Last Month Hours Filled (%),25.54%
Previous Month Hours Filled (%),2.22%
Number of Weekly Regulars,1
Total Hours by Weekly Regulars (%),9.81%
Number of Fortnightly Regulars,4
Total Hours by Fortnightly Regulars (%),28.52%
