Metric,Value
Total Hours of Prayer,387.50
Total Individual Users,87
Top 1 Timeslot,Monday at 06:00 with 16 bookings
Top 2 Timeslot,Tuesday at 19:00 with 14 bookings
Top 3 Timeslot,Tuesday at 17:00 with 10 bookings
Avg Hours per Day,1.49
Avg Hours per Week,10.43
Avg Hours per Year,544.36
Total Hours Last 7 Days,7.00
Unique Users Last 7 Days,6
Total Hours Previous 7 Days,10.00
Unique Users Previous 7 Days,9
Last 7 Days Hours Filled (%),4.17%
Previous 7 Days Hours Filled (%),5.95%
Total Hours Last 28 Days,192.00
Unique Users Last 28 Days,79
Total Hours Previous 28 Days,14.00
Unique Users Previous 28 Days,6
Last 28 Days Hours Filled (%),28.57%
Previous 28 Days Hours Filled (%),2.08%
Number of Weekly Regulars,1
Total Hours by Weekly Regulars (%),9.81%
Number of Fortnightly Regulars,4
Total Hours by Fortnightly Regulars (%),28.52%
