weekday,hour,Probability
Saturday,8,0.02027027027027027
Saturday,10,0.02027027027027027
Saturday,11,0.016891891891891893
Saturday,17,0.016891891891891893
Tuesday,13,0.016891891891891893
Friday,9,0.013513513513513514
Monday,9,0.013513513513513514
Monday,11,0.013513513513513514
Monday,15,0.013513513513513514
Monday,16,0.013513513513513514
Saturday,6,0.013513513513513514
Saturday,7,0.013513513513513514
Saturday,12,0.013513513513513514
Saturday,14,0.013513513513513514
Saturday,16,0.013513513513513514
Saturday,19,0.013513513513513514
Saturday,21,0.013513513513513514
Tuesday,9,0.013513513513513514
Friday,8,0.010135135135135136
Friday,15,0.010135135135135136
Friday,17,0.010135135135135136
Monday,8,0.010135135135135136
Monday,19,0.010135135135135136
Saturday,1,0.010135135135135136
Saturday,2,0.010135135135135136
Saturday,4,0.010135135135135136
Saturday,5,0.010135135135135136
Saturday,9,0.010135135135135136
Saturday,13,0.010135135135135136
Saturday,15,0.010135135135135136
Saturday,18,0.010135135135135136
Saturday,20,0.010135135135135136
Saturday,22,0.010135135135135136
Thursday,9,0.010135135135135136
Thursday,10,0.010135135135135136
Thursday,13,0.010135135135135136
Thursday,19,0.010135135135135136
Tuesday,11,0.010135135135135136
Tuesday,17,0.010135135135135136
Wednesday,9,0.010135135135135136
Wednesday,16,0.010135135135135136
Friday,11,0.006756756756756757
Friday,12,0.006756756756756757
Friday,13,0.006756756756756757
Friday,14,0.006756756756756757
Friday,16,0.006756756756756757
Friday,18,0.006756756756756757
Friday,20,0.006756756756756757
Friday,21,0.006756756756756757
Friday,22,0.006756756756756757
Monday,13,0.006756756756756757
Monday,14,0.006756756756756757
Monday,17,0.006756756756756757
Saturday,0,0.006756756756756757
Saturday,3,0.006756756756756757
Sunday,0,0.006756756756756757
Sunday,5,0.006756756756756757
Sunday,6,0.006756756756756757
Sunday,19,0.006756756756756757
Sunday,20,0.006756756756756757
Sunday,22,0.006756756756756757
Thursday,7,0.006756756756756757
Thursday,8,0.006756756756756757
Thursday,12,0.006756756756756757
Thursday,15,0.006756756756756757
Thursday,16,0.006756756756756757
Thursday,21,0.006756756756756757
Tuesday,5,0.006756756756756757
Tuesday,6,0.006756756756756757
Tuesday,7,0.006756756756756757
Tuesday,10,0.006756756756756757
Tuesday,12,0.006756756756756757
Tuesday,14,0.006756756756756757
Tuesday,15,0.006756756756756757
Tuesday,16,0.006756756756756757
Tuesday,18,0.006756756756756757
Tuesday,19,0.006756756756756757
Tuesday,20,0.006756756756756757
Wednesday,12,0.006756756756756757
Wednesday,18,0.006756756756756757
Friday,0,0.0033783783783783786
Friday,1,0.0033783783783783786
Friday,2,0.0033783783783783786
Friday,5,0.0033783783783783786
Friday,6,0.0033783783783783786
Friday,7,0.0033783783783783786
Friday,10,0.0033783783783783786
Friday,19,0.0033783783783783786
Friday,23,0.0033783783783783786
Monday,0,0.0033783783783783786
Monday,2,0.0033783783783783786
Monday,3,0.0033783783783783786
Monday,4,0.0033783783783783786
Monday,5,0.0033783783783783786
Monday,6,0.0033783783783783786
Monday,7,0.0033783783783783786
Monday,10,0.0033783783783783786
Monday,12,0.0033783783783783786
Monday,18,0.0033783783783783786
Monday,20,0.0033783783783783786
Monday,22,0.0033783783783783786
Monday,23,0.0033783783783783786
Saturday,23,0.0033783783783783786
Sunday,7,0.0033783783783783786
Sunday,9,0.0033783783783783786
Sunday,12,0.0033783783783783786
Sunday,13,0.0033783783783783786
Sunday,14,0.0033783783783783786
Sunday,16,0.0033783783783783786
Sunday,17,0.0033783783783783786
Sunday,18,0.0033783783783783786
Sunday,21,0.0033783783783783786
Sunday,23,0.0033783783783783786
Thursday,0,0.0033783783783783786
Thursday,1,0.0033783783783783786
Thursday,2,0.0033783783783783786
Thursday,3,0.0033783783783783786
Thursday,4,0.0033783783783783786
Thursday,5,0.0033783783783783786
Thursday,6,0.0033783783783783786
Thursday,11,0.0033783783783783786
Thursday,14,0.0033783783783783786
Thursday,17,0.0033783783783783786
Thursday,18,0.0033783783783783786
Thursday,20,0.0033783783783783786
Thursday,22,0.0033783783783783786
Tuesday,0,0.0033783783783783786
Tuesday,1,0.0033783783783783786
Tuesday,3,0.0033783783783783786
Tuesday,8,0.0033783783783783786
Tuesday,21,0.0033783783783783786
Tuesday,22,0.0033783783783783786
Tuesday,23,0.0033783783783783786
Wednesday,0,0.0033783783783783786
Wednesday,1,0.0033783783783783786
Wednesday,2,0.0033783783783783786
Wednesday,4,0.0033783783783783786
Wednesday,5,0.0033783783783783786
Wednesday,6,0.0033783783783783786
Wednesday,7,0.0033783783783783786
Wednesday,8,0.0033783783783783786
Wednesday,10,0.0033783783783783786
Wednesday,11,0.0033783783783783786
Wednesday,13,0.0033783783783783786
Wednesday,14,0.0033783783783783786
Wednesday,15,0.0033783783783783786
Wednesday,17,0.0033783783783783786
Wednesday,19,0.0033783783783783786
Wednesday,21,0.0033783783783783786
Wednesday,23,0.0033783783783783786
Friday,3,0.0
Friday,4,0.0
Monday,1,0.0
Monday,21,0.0
Sunday,1,0.0
Sunday,2,0.0
Sunday,3,0.0
Sunday,4,0.0
Sunday,8,0.0
Sunday,10,0.0
Sunday,11,0.0
Sunday,15,0.0
Thursday,23,0.0
Tuesday,2,0.0
Tuesday,4,0.0
Wednesday,3,0.0
Wednesday,20,0.0
Wednesday,22,0.0
