Metric,Value
Total Hours of Prayer,219.50
Total Individual Users,46
Top 1 Timeslot,Monday at 06:00 with 15 bookings
Top 2 Timeslot,Tuesday at 19:00 with 14 bookings
Top 3 Timeslot,Tuesday at 17:00 with 9 bookings
Avg Hours per Day,0.85
Avg Hours per Week,5.93
Avg Hours per Year,309.55
Total Hours Last 7 Days,9.00
Total Hours Previous 7 Days,11.00
Last 7 Days Hours Filled (%),5.36%
Previous 7 Days Hours Filled (%),6.55%
Total Hours Last Month,22.00
Total Hours Previous Month,16.00
Last Month Hours Filled (%),2.96%
Previous Month Hours Filled (%),2.22%
Number of Weekly Regulars,0
Total Hours by Weekly Regulars (%),0.00%
Number of Fortnightly Regulars,3
Total Hours by Fortnightly Regulars (%),35.54%
