Metric,Value
Total Hours of Prayer,219.50
Total Individual Users,46
Top 1 Timeslot,Monday at 06:00 with 15 bookings
Top 2 Timeslot,Tuesday at 19:00 with 14 bookings
Top 3 Timeslot,Tuesday at 17:00 with 9 bookings
Avg Hours per Day,0.84
Avg Hours per Week,5.91
Avg Hours per Year,308.36
Total Hours Last 7 Days,7.00
Unique Users Last 7 Days,6
Total Hours Previous 7 Days,10.00
Unique Users Previous 7 Days,9
Last 7 Days Hours Filled (%),4.17%
Previous 7 Days Hours Filled (%),5.95%
Total Hours Last 28 Days,24.00
Unique Users Last 28 Days,13
Total Hours Previous 28 Days,14.00
Unique Users Previous 28 Days,6
Last 28 Days Hours Filled (%),3.57%
Previous 28 Days Hours Filled (%),2.08%
Number of Weekly Regulars,0
Total Hours by Weekly Regulars (%),0.00%
Number of Fortnightly Regulars,3
Total Hours by Fortnightly Regulars (%),35.54%
