weekday,hour,Probability
Saturday,10,0.03676470588235294
Saturday,8,0.029411764705882353
Saturday,11,0.029411764705882353
Saturday,17,0.029411764705882353
Saturday,6,0.022058823529411766
Saturday,7,0.022058823529411766
Saturday,12,0.022058823529411766
Saturday,14,0.022058823529411766
Saturday,16,0.022058823529411766
Saturday,19,0.022058823529411766
Saturday,21,0.022058823529411766
Saturday,22,0.022058823529411766
Tuesday,9,0.022058823529411766
Friday,9,0.014705882352941176
Friday,16,0.014705882352941176
Monday,8,0.014705882352941176
Monday,9,0.014705882352941176
Monday,11,0.014705882352941176
Monday,16,0.014705882352941176
Monday,19,0.014705882352941176
Saturday,1,0.014705882352941176
Saturday,2,0.014705882352941176
Saturday,3,0.014705882352941176
Saturday,4,0.014705882352941176
Saturday,5,0.014705882352941176
Saturday,9,0.014705882352941176
Saturday,13,0.014705882352941176
Saturday,15,0.014705882352941176
Saturday,18,0.014705882352941176
Saturday,20,0.014705882352941176
Sunday,6,0.014705882352941176
Thursday,9,0.014705882352941176
Thursday,10,0.014705882352941176
Tuesday,13,0.014705882352941176
Tuesday,17,0.014705882352941176
Wednesday,9,0.014705882352941176
Wednesday,16,0.014705882352941176
Friday,8,0.007352941176470588
Friday,12,0.007352941176470588
Friday,13,0.007352941176470588
Friday,14,0.007352941176470588
Friday,15,0.007352941176470588
Friday,17,0.007352941176470588
Friday,18,0.007352941176470588
Friday,20,0.007352941176470588
Friday,21,0.007352941176470588
Friday,22,0.007352941176470588
Monday,6,0.007352941176470588
Monday,14,0.007352941176470588
Monday,15,0.007352941176470588
Monday,17,0.007352941176470588
Monday,23,0.007352941176470588
Saturday,0,0.007352941176470588
Saturday,23,0.007352941176470588
Sunday,0,0.007352941176470588
Sunday,5,0.007352941176470588
Sunday,19,0.007352941176470588
Sunday,20,0.007352941176470588
Sunday,22,0.007352941176470588
Thursday,1,0.007352941176470588
Thursday,7,0.007352941176470588
Thursday,12,0.007352941176470588
Thursday,13,0.007352941176470588
Thursday,15,0.007352941176470588
Thursday,16,0.007352941176470588
Thursday,17,0.007352941176470588
Thursday,19,0.007352941176470588
Tuesday,5,0.007352941176470588
Tuesday,6,0.007352941176470588
Tuesday,7,0.007352941176470588
Tuesday,10,0.007352941176470588
Tuesday,11,0.007352941176470588
Tuesday,12,0.007352941176470588
Tuesday,16,0.007352941176470588
Tuesday,18,0.007352941176470588
Tuesday,19,0.007352941176470588
Tuesday,20,0.007352941176470588
Wednesday,7,0.007352941176470588
Wednesday,12,0.007352941176470588
Wednesday,17,0.007352941176470588
Wednesday,18,0.007352941176470588
Friday,0,0.0
Friday,1,0.0
Friday,2,0.0
Friday,3,0.0
Friday,4,0.0
Friday,5,0.0
Friday,6,0.0
Friday,7,0.0
Friday,10,0.0
Friday,11,0.0
Friday,19,0.0
Friday,23,0.0
Monday,0,0.0
Monday,1,0.0
Monday,2,0.0
Monday,3,0.0
Monday,4,0.0
Monday,5,0.0
Monday,7,0.0
Monday,10,0.0
Monday,12,0.0
Monday,13,0.0
Monday,18,0.0
Monday,20,0.0
Monday,21,0.0
Monday,22,0.0
Sunday,1,0.0
Sunday,2,0.0
Sunday,3,0.0
Sunday,4,0.0
Sunday,7,0.0
Sunday,8,0.0
Sunday,9,0.0
Sunday,10,0.0
Sunday,11,0.0
Sunday,12,0.0
Sunday,13,0.0
Sunday,14,0.0
Sunday,15,0.0
Sunday,16,0.0
Sunday,17,0.0
Sunday,18,0.0
Sunday,21,0.0
Sunday,23,0.0
Thursday,0,0.0
Thursday,2,0.0
Thursday,3,0.0
Thursday,4,0.0
Thursday,5,0.0
Thursday,6,0.0
Thursday,8,0.0
Thursday,11,0.0
Thursday,14,0.0
Thursday,18,0.0
Thursday,20,0.0
Thursday,21,0.0
Thursday,22,0.0
Thursday,23,0.0
Tuesday,0,0.0
Tuesday,1,0.0
Tuesday,2,0.0
Tuesday,3,0.0
Tuesday,4,0.0
Tuesday,8,0.0
Tuesday,14,0.0
Tuesday,15,0.0
Tuesday,21,0.0
Tuesday,22,0.0
Tuesday,23,0.0
Wednesday,0,0.0
Wednesday,1,0.0
Wednesday,2,0.0
Wednesday,3,0.0
Wednesday,4,0.0
Wednesday,5,0.0
Wednesday,6,0.0
Wednesday,8,0.0
Wednesday,10,0.0
Wednesday,11,0.0
Wednesday,13,0.0
Wednesday,14,0.0
Wednesday,15,0.0
Wednesday,19,0.0
Wednesday,20,0.0
Wednesday,21,0.0
Wednesday,22,0.0
Wednesday,23,0.0
